dtime,doy,dow,natholiday,observer_intensity,ave_precip,ave_temper
20170322,81.0,3.0,False,1570,7.11903985127068e-05,12.3123587743106
20170323,82.0,4.0,False,1447,0.0,12.9820889351918
20170324,83.0,5.0,False,1536,0.0,13.323126642544
20170325,84.0,6.0,False,1837,0.0001414074453535,13.6220715638662
20170326,85.0,0.0,False,1909,0.0003614765352756,12.6358913142108
20170327,86.0,1.0,False,1663,0.0004224368238499,17.096472922497
20170328,87.0,2.0,False,1670,0.510838413668379,18.5875053852718
20170329,88.0,3.0,False,1146,0.24440903797722,13.8725245341572
20170330,89.0,4.0,False,1672,0.000410343919245,20.7652705704168
20170331,90.0,5.0,False,1789,0.580786309446566,21.6048953372658
20170401,91.0,6.0,False,1699,2.07255692913745,14.6639313629078
20170402,92.0,0.0,False,2204,0.0036095848482692,15.5010584956768
20170403,93.0,1.0,False,1514,8.31638498148698e-05,13.8873938882659
20170404,94.0,2.0,False,1577,0.0052180444753277,15.7874721077988
20170405,95.0,3.0,False,1266,0.0477869237391062,12.3982458481515
20170406,96.0,4.0,False,1217,0.0123508107978442,11.115493928517
20170407,97.0,5.0,False,1432,0.0495127525669739,13.7231018514374
20170408,98.0,6.0,False,1895,0.0014690604934283,14.064856576395
20170409,99.0,0.0,False,2274,0.0,20.6861258749015
20170410,100.0,1.0,False,1273,0.0381903598182378,13.4633379544978
20170411,101.0,2.0,False,1326,0.0010167523051315,13.4490267261796
20170412,102.0,3.0,False,1054,2.86701054535467,11.5940224168914
20170413,103.0,4.0,False,1329,0.0401295496628066,12.2972451120785
20170414,104.0,5.0,True,1531,2.98151173579237,12.06582673247
20170415,105.0,6.0,False,1652,0.770195215219977,11.6771970981574
20170416,106.0,0.0,True,1681,5.37376585645065,11.3686218616512
20170417,107.0,1.0,True,1834,1.87226550388178,10.6503164269078
20170418,108.0,2.0,False,1316,0.432893676515962,10.4408344689184
20170419,109.0,3.0,False,1507,0.0005202383319235,8.95216501511658
20170420,110.0,4.0,False,1546,0.0006176407665837,12.1151499662776
20170421,111.0,5.0,False,1388,1.33080389146283,14.0877040785876
20170422,112.0,6.0,False,1714,0.647268064531606,10.9207870123678
20170423,113.0,0.0,False,1922,0.216335740964105,10.9235032534917
20170424,114.0,1.0,False,1349,4.31182594210086,13.0911926194349
20170425,115.0,2.0,False,1264,1.42971778265943,9.79591826944742
20170426,116.0,3.0,False,1524,0.747463716654949,10.6527389915958
20170427,117.0,4.0,True,1754,1.9292675655085,10.7058371753659
20170428,118.0,5.0,False,1667,0.274400930409582,11.6048316715152
20170429,119.0,6.0,False,2122,0.0022712369835477,13.0117591417597
20170430,120.0,0.0,False,2323,0.330214292779958,18.3923767186714
20170501,121.0,1.0,False,1576,1.61244583304136,13.564486578079
20170502,122.0,2.0,False,1475,4.58063932494191,14.227734575611
20170503,123.0,3.0,False,1615,1.91845971038291,14.8390707830322
20170504,124.0,4.0,False,1477,0.858310030076399,13.3506649024901
20170505,125.0,5.0,True,1814,0.0137262539136561,11.1589144415655
20170506,126.0,6.0,False,2487,0.0001798332423195,17.9323998294908
20170507,127.0,0.0,False,2067,0.013164285600018,15.209555655192
20170508,128.0,1.0,False,1455,0.0061369603091827,14.4275556399538
20170509,129.0,2.0,False,1598,0.0002139359356982,12.9327221744672
20170510,130.0,3.0,False,1700,0.0,14.7998678337525
20170511,131.0,4.0,False,1724,2.63595364915615,22.285656627167
20170512,132.0,5.0,False,1315,7.02719582905971,20.2138814742922
20170513,133.0,6.0,False,1767,2.05768777932665,19.3730539485593
20170514,134.0,0.0,False,1779,1.3077730633036,20.2332719690722
20170515,135.0,1.0,False,1425,0.0780485351206692,20.9156836797344
20170516,136.0,2.0,False,1455,0.0009641579492112,25.3473074192639
20170517,137.0,3.0,False,1491,1.14775222156982,28.6396724022048
20170518,138.0,4.0,False,1054,1.50093684881579,20.4607873516697
20170519,139.0,5.0,False,945,1.17180746447649,16.7133108579571
20170520,140.0,6.0,False,1740,0.680801174410452,17.4200183696313
20170521,141.0,0.0,False,1904,0.0001603921935136,19.6398779935969
20170522,142.0,1.0,False,1425,0.0002313006729663,24.5125659442265
20170523,143.0,2.0,False,1207,8.47153693471101e-05,20.5167200108429
20170524,144.0,3.0,False,1212,8.31638498148698e-05,20.6529800305412
20170525,145.0,4.0,True,1731,0.0002818934940594,22.3660120531282
20170526,146.0,5.0,False,1536,0.0003080525956108,25.6317763432043
20170527,147.0,6.0,False,1512,2.32824821248395,30.855678630408
20170528,148.0,0.0,False,1524,0.966372604878844,24.6286860842418
20170529,149.0,1.0,False,1164,1.13028749329334,27.6302308149602
20170530,150.0,2.0,False,1007,0.0460503801145206,21.2107716395021
20170531,151.0,3.0,False,1230,0.0,21.0040276951023
20170601,152.0,4.0,False,1250,0.0,22.7555145157476
20170602,153.0,5.0,False,1258,0.552480931855967,25.99573123573
20170603,154.0,6.0,False,1270,1.32312368694133,23.6673512902568
20170604,155.0,0.0,True,1473,0.0315063802338053,19.9063733015525
20170605,156.0,1.0,True,1506,1.41387540937227,21.78503322146
20170606,157.0,2.0,False,534,8.85142264872817,18.2743961536942
20170607,158.0,3.0,False,641,3.1355867604629,16.9854204828846
20170608,159.0,4.0,False,1015,8.59701425889188,22.3700393980125
20170609,160.0,5.0,False,862,8.05231592488471,19.2249760818561
20170610,161.0,6.0,False,1448,0.0061903626383946,23.1298691553612
20170611,162.0,0.0,False,1342,0.216033324620751,26.9202098430714
20170612,163.0,1.0,False,832,0.012417521190117,18.445285771516
20170613,164.0,2.0,False,1027,9.11076081415583e-05,19.8277037232736
20170614,165.0,3.0,False,1171,0.0002154775513212,23.6300132167343
20170615,166.0,4.0,False,944,0.0617728406364384,26.9071820410404
20170616,167.0,5.0,False,927,0.0,18.8765013784704
20170617,168.0,6.0,False,1210,0.0002703957809474,22.179039711623
20170618,169.0,0.0,False,1284,0.0,26.9548727848005
20170619,170.0,1.0,False,944,0.0,29.8367271227577
20170620,171.0,2.0,False,973,0.0,25.7080537256814
20170621,172.0,3.0,False,1022,0.0,27.3313792180946
20170622,173.0,4.0,False,775,1.5349485936513,29.7671132428533
20170623,174.0,5.0,False,888,1.54775115695857,22.5661039301167
20170624,175.0,6.0,False,747,3.48568214314965,19.2797757529777
20170625,176.0,0.0,False,945,3.24973888875679,19.3790688005615
20170626,177.0,1.0,False,1040,0.0008292477534166,20.3619946940105
20170627,178.0,2.0,False,890,4.53017203677689,21.4032484635652
20170628,179.0,3.0,False,702,13.3695155746339,21.7411466350793
20170629,180.0,4.0,False,882,2.7823161292879,20.8572400229431
20170630,181.0,5.0,False,890,13.1764914167992,20.3521380504234
